subject,teacher,time_detail,all_colleges_registered,classroom
不動產估價專題研究,陳奉瑤,三234,12,綜合270617
地理資訊系統特論,詹進發,一567,11,綜合270617
AI在不動產金融與投資中的應用,林左裕,未定或彈性,5, 無資料
個體經濟理論（二）,廖郁萍,四D56,7,綜南270209
總體經濟理論（二）,梁斐琪,五234,29,綜南270211
進階經濟計量學,廖仁哲,四234,26,大勇210201
進階經濟計量學,廖仁哲,四234,2,大勇210201
管理經濟學（二）,王國樑,二78E,5,綜北270204
國際金融議題研析,蕭明福,二34,9,綜北270303
環境與資源經濟學（四）：永續發展經濟學,許志義,五8EF,4,綜北270304
環境與資源經濟學（一）： 環境政策經濟分析,蕭代基,三567,3,綜合271034
貿易與產業實證專題,李浩仲,二234,22,綜南270312
經濟問題研討（四）,許育進,二56,2,教室洽系所
應用計量: 總體專題研究（一）,賴廷緯,二78E,6,綜合271034
勞動經濟學（二）,江豐富,一12C,19,綜南270209
國際金融（二）,黃仁德,四234,17,綜南270309
貨幣經濟學（三）,李文傑,五EFG,1,綜合271034
經濟問題研討（三）,陳鎮洲、賴廷緯,二56,45,綜南270111
管理經濟學（二）,王國樑,二78E,0, 無資料
民族學方法（II）,張中復,二34,6,綜合270717
民族誌專題研究,高雅寧,二EFG,5,研究250420
進階田野調查課程：菲律賓文化與地理研究,陳怡萱,五234,1,綜南270315
博物館實習,陳乃華,四78,0,綜南270311
地方創生與青年創業實驗室,王雅萍,一78E,4,綜北270304
人類學與障礙研究,劉子愷,一78E,2,綜南270314
內陸歐亞概論,藍美華,五56,1,綜南270411
藏學人類學,陳乃華,五234,0, 無資料
以社區為本的文化資源管理：台灣與泰國的經驗對話,王雅萍,五EFG,2,研究250201
民族發展專題：社區製圖與傳統領域調查,陳怡萱、蕭惠中,三D56,4,綜南270209
當代中國專題：遷徙、勞動與數位媒體,劉子愷,五D56,5,綜南270312
語言、文化與數位媒體,劉子愷,四234,5,綜南270409
台灣考古,劉益昌,一78E,1,綜北270303
民俗學,黃季平,一D56,4,綜合270717
發展與政策,湯京平,五234,8,綜合270723
政治發展理論,魏玫娟,二567,12,綜合270723
經濟發展理論,蘇昱璇,四234,11,綜合270723
質性研究法,何浩慈,三567,6,綜合270723
東亞與南亞之民主與民主化,魏玫娟,三567,6,綜合270722
環境、社會與發展,郭益昌,二567,3,綜合270722
全球ESG及社會企業創新發展,王安亞,五5678,6,綜合270723
環境治理專題,林義鈞,一567,3,綜合270723
台灣政治經濟發展,黃兆年,五234,5,綜合270722
國際人權倡議,黃兆年,四234,4,綜合270722
東南亞族群發展,劉曉鵬,三234,4,綜合270723
全球扶貧與中國經驗,劉曉鵬,二234,1,綜合270723
都市貧窮與不均,蘇昱璇,二234,3,綜合270722
勞動法學專題研究,吳姿慧,五567,10,綜合271233
勞動事務實習：勞動市場（一）,張其恆,五CD,9,綜合271233
AI與勞動權益專題研究,陳芙萱,三D56,4,綜合271233
性別與勞動專題研究,陳芙萱,二678,5,綜合271233
勞動調解專題研究,丘周剛,五34,12,綜合271233
人力資源管理與發展專題研究,丘周剛,一56,11,綜合271233
集體勞動法,林良榮,三56,0, 無資料
勞動法案例研究,林良榮,三78,0, 無資料
勞資協商專題研究,潘世偉,四34,9,綜合271233
勞資關係理論與實踐,成之約,一78,12,綜合271233
國際勞動基準專題研究,張其恆,四678,12,綜合271233
社會工作理論與實務,林宜輝,四567,19,綜合271443
非營利組織管理,林宜輝,三234,5,綜合271446
質性研究,夏曉鵑,三EFG,19,綜合271443
非典型社會工作：另類社工的多元敘事,陳雪慧,四EFG,7,綜合271443
我與老年的距離：高齡社會學與社會工作,王明聖,三D56,7,綜合271443
性別、工作與照顧專題,王明聖,二234,3,綜合271443
培力與組織,夏曉鵑,二EFG,6,綜合271443
社會統計,楊佩榮,四234,18,綜合271443
貧窮與社會工作,蔡培元,三567,8,綜合271446
社會個案工作,楊佩榮,三234,7,綜合271443
精神社會工作,宋麗玉,一567,7,綜合271443
家庭暴力成因與處遇模式,宋麗玉,二567,8,綜合271443
看見國家：藝術、現代性、與國家建構,梁家瑜,一567,5,綜合271215
資料科學：社會科學研究的工具箱,杜福童,三567,11,綜合271215
政治傳播專題,戴士展,四D56,0, 無資料
東南亞國際關係,游雅雯,五234,5,綜合271215
美臺關係,何漢理,四34C,3,綜合271201
亞太戰略研析,李喜明、袁力強,三8EF,18,綜北270306
台美中關係與國際體系,冷則剛,一EFG,4,綜合271201
政治參與及社會運動,王慧敏,三567,1,綜合271135
當代中國專題：遷徙、勞動與數位媒體,劉子愷,五D56,2,綜南270312
西方眼中的中國與臺灣專題,周一騰,三567,2,季陶340407
非營利組織管理,林宜輝,三234,2,綜合271446
資料導向決策,廖興中,四34C,2,綜合271149
國際人權倡議,黃兆年,四234,3,綜合270722
全球變遷下的亞洲安全,劉復國,二567,7,綜合271215
東南亞族群發展,劉曉鵬,三234,6,綜合270723
因果推論與資料科學在經濟學的應用,楊子霆,三78E,2,綜北270407
比較政治理論與方法,錢宜群,一D56,2,綜合271201
東亞與南亞之民主與民主化,魏玫娟,三567,0,綜合270722
發展與政策,湯京平,五234,0, 無資料
應用總體經濟,彭喜樞,二D56,23,綜南270416
資料科學基礎：社會科學的工具箱,杜福童,一D56,5,綜南270110
公共管理及永續發展,謝文琪,五234,0, 無資料
個體計量方法與應用,黃柏鈞,四D5,3,綜南270309
虛擬資產與實體資產代幣化應用趨勢,鄭旭高,三D56,18,綜北270106
機器學習與財務計量,羅秉政,四234,1,商館260206
專題三：大數據與社會分析,卞中佩,四234,4,國際360304
質性研究方法,史蘭亭,二234,6,綜合271201
地方財政,傅健豪,一D56,6,綜南270209
創新管理與數位轉型,史蘭亭,三234,18,綜南270311
兩岸與東亞的區域發展,莊奕琦,三D56,9,綜合271201
都市貧窮與不均,蘇昱璇,二234,3,綜合270722
因果推論與資料科學在經濟學的應用,楊子霆,三78E,9,綜北270407
國際貿易,李慧琳,四D56,4,資訊140307
國際金融市場現況分析,朱琇妍,四D56,4,綜南270208
土地經濟學,顏愛靜,六234,6,綜北270307
原住民族土地歷史與政策發展,陳怡萱、傅琪貽,五D56,2,綜南270208
民族地理與文化生態,陳怡萱,四D56,5,綜南270210
環境規劃與設計專題,蕭惠中,四EFG,4,綜北270206
原住民生態知識與自然資源管理,蕭惠中,二EFG,8,綜北270206
土地政策,徐世榮,四234,5,綜南270408
管理經濟學,陳鎮洲、傅健豪,二FGH,44, 無資料
管理經濟學,翁永和,五FGH,27, 無資料
管理經濟學,王信實、羅光達,一FGH,19, 無資料
社會科學研究方法（一）：量化研究方法,陳信木,三FGH,12, 無資料
台灣發展重大公共議題,王增勇、杜文苓、林子欽、孫振義、陳國樑、黃智聰、甯方璽、楊婉瑩、羅光達,六234,75, 無資料
台灣發展重大公共議題,王增勇、杜文苓、林子欽、孫振義、陳國樑、黃智聰、甯方璽、楊婉瑩、羅光達,六234,27, 無資料
台灣發展重大公共議題,王增勇、杜文苓、林子欽、孫振義、陳國樑、黃智聰、甯方璽、楊婉瑩、羅光達,六234,25, 無資料
政策分析與管理,黃東益,四FGH,28, 無資料
設計思考與社會創新實作,王信實、白仁德、何日生,六567,48, 無資料
策略管理與個案分析專題,王安亞、侯勝宗、陳柏良,五FGH,32, 無資料
公共事務實踐專題,高安邦、詹婷怡、蒲澤春,六567,50, 無資料
全球變遷與勞工問題,成之約、張其恆,一FGH,29, 無資料
科技發展與政策前瞻,朱斌妤、廖興中、戴豪君,二FGH,28, 無資料
財政與稅務行政專題,周德宇、陳香梅,六567,18, 無資料
經濟發展與金融實務專題,朱美麗、張傳章、連賢明,五FGH,22, 無資料
比較社會政策,古允文、蔡培元,三FGH,9, 無資料
法治與行政,董保城、蘇偉業,一FGH,15, 無資料
中國大陸政府與政治,寇健文,三FGH,21, 無資料
住宅政策研究,江穎慧,五EFG,24, 無資料
不動產量化分析,江穎慧、林士淵、林子欽,二FGH,19, 無資料
不動產交易管理與法律專題研究（二）,吳秀明,五EFG,17, 無資料
綠色建築與智慧生態社區,孫振義,三EFG,28, 無資料
空間資訊科技應用特論,林士淵、林老生、邱式鴻、甯方璽、詹進發,未定或彈性,0, 無資料
不動產開發專題研究,賴宗裕,四EFG,19,綜北270306
研究方法,蔡育新,二EFG,0, 無資料
交通運輸與土地利用研究,白仁德,四EFG,12, 無資料
土地經濟專題研究,劉小蘭,六234,12, 無資料
亞太國家發展政策比較,冷則剛、林超琦、劉曉鵬、藍適齊,二567,32,綜北270206
東南亞的公民與非公民社會：抵抗、默許與拉攏,DeasyRumondang Prisc,四234,18,綜南270108
電影與政治,梁家瑜,二234,14,綜北270403
全球ESG及社會企業創新發展,王安亞,五5678,0,綜合270723
資料科學基礎：社會科學的工具箱,杜福童,一D56,2,綜南270110
性別、工作與照顧專題,王明聖,二234,3,綜合271443
公共管理及永續發展,謝文琪,五234,3,人偉講堂
現代世界的宗教與政治,DeasyRumondang Prisc,五D56,6,綜南270211
國際環境治理,王慧敏,二56,0, 無資料
國土規劃,鄭安廷,五234,1,綜南270312
非營利組織管理,林宜輝,三234,2,綜合271446
專題一：人類世與地緣政治,楊智元,三D56,0,研究250305
東南亞族群發展,劉曉鵬,三234,2,綜合270723
東南亞比較政治,孫采薇,五234,4,綜合270813
西方眼中的中國與臺灣專題,周一騰,三567,1,季陶340407
國際人權倡議,黃兆年,四234,1,綜合270722
都市貧窮與不均,蘇昱璇,二234,2,綜合270722
東亞與南亞之民主與民主化,魏玫娟,三567,3,綜合270722
台美中關係與國際體系,冷則剛,一EFG,9,綜合271201
兩岸與東亞的區域發展,莊奕琦,三D56,5,綜合271201
